"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 24 03:08:30 UTC 2023","Tue Oct 24 03:08:32 UTC 2023","2369","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Oct 24 02:32:24 UTC 2023","Tue Oct 24 02:32:51 UTC 2023","27090","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Tue Oct 24 02:32:51 UTC 2023","Tue Oct 24 02:33:04 UTC 2023","13198","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Tue Oct 24 02:47:45 UTC 2023","Tue Oct 24 02:48:20 UTC 2023","34444","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Oct 24 02:30:42 UTC 2023","Tue Oct 24 02:31:03 UTC 2023","20457","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Oct 24 02:31:27 UTC 2023","Tue Oct 24 02:32:12 UTC 2023","45333","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Tue Oct 24 04:05:13 UTC 2023","Tue Oct 24 04:05:23 UTC 2023","10144","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Tue Oct 24 04:05:28 UTC 2023","Tue Oct 24 04:05:29 UTC 2023","1311","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Tue Oct 24 02:48:20 UTC 2023","Tue Oct 24 02:48:28 UTC 2023","8611","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Tue Oct 24 03:25:14 UTC 2023","Tue Oct 24 03:25:16 UTC 2023","2196","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"failed","Tue Oct 24 03:12:43 UTC 2023","Tue Oct 24 03:13:06 UTC 2023","23130","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Tue Oct 24 03:07:45 UTC 2023","Tue Oct 24 03:07:49 UTC 2023","4193","","6. Company Account","","","","5. Complete Screen and tilts",""
